efta,justice_gov_url,dataset,original_size,scan_size,diff_bytes,diff_pct,content_type,ocr_text
EFTA01656409,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01656409.pdf,10,381365,81170,-300195,-78.72,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01656409&efta_number=EFTA01656409
EFTA01196510,https://www.justice.gov/epstein/files/DataSet%209/EFTA01196510.pdf,9,665766,370851,-294915,-44.30,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01196510&efta_number=EFTA01196510
EFTA01305957,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01305957.pdf,10,36799296,36506399,-292897,-0.80,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01305957&efta_number=EFTA01305957
EFTA01133681,https://www.justice.gov/epstein/files/DataSet%209/EFTA01133681.pdf,9,350193,60358,-289835,-82.76,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01133681&efta_number=EFTA01133681
EFTA01196699,https://www.justice.gov/epstein/files/DataSet%209/EFTA01196699.pdf,9,608119,320674,-287445,-47.27,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01196699&efta_number=EFTA01196699
EFTA02008812,https://www.justice.gov/epstein/files/DataSet%2010/EFTA02008812.pdf,10,309974,32031,-277943,-89.67,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA02008812&efta_number=EFTA02008812
EFTA02719988,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02719988.pdf,11,1410373,1134489,-275884,-19.56,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA02719988&efta_number=EFTA02719988
EFTA01335616,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01335616.pdf,10,14415181,14140399,-274782,-1.91,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01335616&efta_number=EFTA01335616
EFTA01311052,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01311052.pdf,10,1239619,965702,-273917,-22.10,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01311052&efta_number=EFTA01311052
EFTA01309564,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01309564.pdf,10,375015,101268,-273747,-73.00,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01309564&efta_number=EFTA01309564
