efta,dataset,url,verify_status,verify_content_type,verify_content_length,verdict,original_cl,original_lm
EFTA00544771,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00544771.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00276412,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00276412.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00574111,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00574111.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01131421,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01131421.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01133767,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01133767.pdf,404,text/html,20,REMOVED,464,
EFTA01232029,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01232029.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00515798,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00515798.pdf,200,application/pdf,760653,LIVE,460,
EFTA01218425,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01218425.pdf,200,application/pdf,705375,LIVE,464,
EFTA01216203,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01216203.pdf,404,text/html,20,REMOVED,464,
EFTA01238044,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01238044.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01167616,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01167616.pdf,404,text/html,20,REMOVED,464,
EFTA00242417,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00242417.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00711555,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00711555.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
